address_sk,address_id,line1,line2,city,province_id,postal_code,country_code,address_type,created_at
54,1050,Calle 5287,,La Plata,1,4393,AR,home,2025-10-28 17:05:44
55,1051,Calle 1980,,La Plata,1,6842,AR,home,2025-10-28 17:05:44
56,1052,Calle 5182,,La Plata,1,8516,AR,home,2025-10-28 17:05:44
57,1053,Calle 6046,,La Plata,1,7735,AR,home,2025-10-28 17:05:44
58,1054,Calle 1669,,Santa Fe,3,5127,AR,home,2025-10-28 17:05:44
59,1055,Calle 6367,,Río Cuarto,2,6440,AR,home,2025-10-28 17:05:44
60,1056,Calle 5210,,Río Cuarto,2,6490,AR,home,2025-10-28 17:05:44
61,1057,Calle 7355,,Río Cuarto,2,9248,AR,home,2025-10-28 17:05:44
62,1058,Calle 2033,Piso 5 Dto A,Mar del Plata,1,4990,AR,home,2025-10-28 17:05:44
63,1059,Calle 8172,,La Plata,1,7156,AR,home,2025-10-28 17:05:44
64,1060,Calle 9799,Piso 8 Dto C,Córdoba,2,3199,AR,home,2025-10-28 17:05:44
65,1061,Calle 8534,Piso 7 Dto C,CABA,1,1388,AR,home,2025-10-28 17:05:44
66,1062,Calle 5616,,Santa Fe,3,5068,AR,home,2025-10-28 17:05:44
67,1063,Calle 8544,Piso 6 Dto A,Villa Carlos Paz,2,1099,AR,home,2025-10-28 17:05:44
68,1064,Calle 3154,,Rosario,3,4345,AR,home,2025-10-28 17:05:44
69,1065,Calle 8993,,Mar del Plata,1,7983,AR,home,2025-10-28 17:05:44
70,1066,Calle 3237,,Mar del Plata,1,5079,AR,home,2025-10-28 17:05:44
71,1067,Calle 3300,,La Plata,1,6891,AR,home,2025-10-28 17:05:44
72,1068,Calle 7232,Piso 7 Dto C,La Plata,1,3553,AR,home,2025-10-28 17:05:44
73,1069,Calle 7003,,La Plata,1,3878,AR,home,2025-10-28 17:05:44
74,1070,Calle 7432,Piso 5 Dto B,La Plata,1,2178,AR,home,2025-10-28 17:05:44
75,1071,Calle 3207,,La Plata,1,1210,AR,home,2025-10-28 17:05:44
76,1072,Calle 8052,Piso 7 Dto B,Villa Carlos Paz,2,7113,AR,home,2025-10-28 17:05:44
77,1073,Calle 9639,,Mar del Plata,1,3039,AR,home,2025-10-28 17:05:44
78,1074,Calle 3183,Piso 7 Dto B,Mendoza,4,9349,AR,home,2025-10-28 17:05:44
79,1075,Calle 946,Piso 11 Dto B,Villa Carlos Paz,2,5043,AR,home,2025-10-28 17:05:44
80,1076,Calle 463,,La Plata,1,5281,AR,home,2025-10-28 17:05:44
81,1077,Calle 4167,,Mendoza,4,1202,AR,home,2025-10-28 17:05:44
82,1078,Calle 6298,,Rafaela,3,9495,AR,home,2025-10-28 17:05:44
83,1079,Calle 6994,Piso 5 Dto C,Rosario,3,9202,AR,home,2025-10-28 17:05:44
84,1080,Calle 9603,Piso 5 Dto C,Villa Carlos Paz,2,2456,AR,home,2025-10-28 17:05:44
85,1081,Calle 2339,,Villa Carlos Paz,2,7520,AR,home,2025-10-28 17:05:44
86,1082,Calle 8057,,CABA,1,7845,AR,home,2025-10-28 17:05:44
87,1083,Calle 7061,Piso 3 Dto A,La Plata,1,4053,AR,home,2025-10-28 17:05:44
88,1084,Calle 8235,,CABA,1,4041,AR,home,2025-10-28 17:05:44
89,1085,Calle 3144,Piso 5 Dto B,CABA,1,2789,AR,home,2025-10-28 17:05:44
90,1086,Calle 6189,,CABA,1,6605,AR,home,2025-10-28 17:05:44
91,1087,Calle 7950,,Villa Carlos Paz,2,2000,AR,home,2025-10-28 17:05:44
92,1088,Calle 9543,,Rosario,3,9557,AR,home,2025-10-28 17:05:44
93,1089,Calle 4356,Piso 8 Dto B,Mar del Plata,1,8036,AR,home,2025-10-28 17:05:44
94,1090,Calle 5165,Piso 4 Dto B,La Plata,1,7200,AR,home,2025-10-28 17:05:44
95,1091,Calle 1642,Piso 1 Dto B,Godoy Cruz,4,3275,AR,home,2025-10-28 17:05:44
96,1092,Calle 4579,Piso 12 Dto A,Río Cuarto,2,8404,AR,home,2025-10-28 17:05:44
97,1093,Calle 3080,Piso 1 Dto C,Mar del Plata,1,1272,AR,home,2025-10-28 17:05:44
98,1094,Calle 5334,,Rafaela,3,8938,AR,home,2025-10-28 17:05:44
99,1095,Calle 5708,,Córdoba,2,7305,AR,home,2025-10-28 17:05:44
100,1096,Calle 2346,,Río Cuarto,2,3094,AR,home,2025-10-28 17:05:44
101,1097,Calle 8991,Piso 8 Dto A,Santa Fe,3,2895,AR,home,2025-10-28 17:05:44
102,1098,Calle 3988,,Córdoba,2,2728,AR,home,2025-10-28 17:05:44
103,1099,Calle 2626,Piso 6 Dto B,Mendoza,4,4610,AR,home,2025-10-28 17:05:44
104,1100,Calle 2017,Piso 11 Dto A,Río Cuarto,2,2481,AR,home,2025-10-28 17:05:44
105,1101,Calle 9842,Piso 2 Dto C,Rafaela,3,7176,AR,home,2025-10-28 17:05:44
106,1102,Calle 7160,Piso 4 Dto A,Río Cuarto,2,2895,AR,home,2025-10-28 17:05:44
107,1103,Calle 5575,,CABA,1,2902,AR,home,2025-10-28 17:05:44
108,1104,Calle 6230,,La Plata,1,6092,AR,home,2025-10-28 17:05:44
109,1105,Calle 6360,Piso 7 Dto B,Córdoba,2,3069,AR,home,2025-10-28 17:05:44
110,1106,Calle 3640,,Río Cuarto,2,9819,AR,home,2025-10-28 17:05:44
111,1107,Calle 3587,Piso 8 Dto C,La Plata,1,3415,AR,home,2025-10-28 17:05:44
112,1108,Calle 563,Piso 10 Dto B,Mar del Plata,1,9230,AR,home,2025-10-28 17:05:44
113,1109,Calle 9404,,Mar del Plata,1,9110,AR,home,2025-10-28 17:05:44
114,1110,Calle 964,,Villa Carlos Paz,2,4687,AR,home,2025-10-28 17:05:44
115,1111,Calle 7988,Piso 12 Dto B,Mendoza,4,3608,AR,home,2025-10-28 17:05:44
116,1112,Calle 6922,Piso 11 Dto B,La Plata,1,7412,AR,home,2025-10-28 17:05:44
117,1113,Calle 4638,,Mar del Plata,1,9978,AR,home,2025-10-28 17:05:44
118,1114,Calle 9510,Piso 1 Dto C,La Plata,1,8496,AR,home,2025-10-28 17:05:44
119,1115,Calle 7905,,Villa Carlos Paz,2,4573,AR,home,2025-10-28 17:05:44
120,1116,Calle 5935,,Córdoba,2,3418,AR,home,2025-10-28 17:05:44
121,1117,Calle 2757,Piso 1 Dto A,Godoy Cruz,4,8763,AR,home,2025-10-28 17:05:44
122,1118,Calle 8445,Piso 11 Dto B,Mendoza,4,3434,AR,home,2025-10-28 17:05:44
123,1119,Calle 3947,Piso 7 Dto B,CABA,1,3826,AR,home,2025-10-28 17:05:44
124,1120,Calle 1469,Piso 8 Dto C,Rafaela,3,5509,AR,home,2025-10-28 17:05:44
125,1121,Calle 1911,Piso 2 Dto A,CABA,1,9351,AR,home,2025-10-28 17:05:44
126,1122,Calle 9382,,Mar del Plata,1,3967,AR,home,2025-10-28 17:05:44
127,1123,Calle 7106,,Mar del Plata,1,2629,AR,home,2025-10-28 17:05:44
128,1124,Calle 3030,,Mar del Plata,1,7451,AR,home,2025-10-28 17:05:44
129,1125,Calle 8005,,Rafaela,3,4399,AR,home,2025-10-28 17:05:44
130,1126,Calle 2949,Piso 1 Dto C,Mar del Plata,1,6149,AR,home,2025-10-28 17:05:44
131,1127,Calle 3379,,Mar del Plata,1,5206,AR,home,2025-10-28 17:05:44
132,1128,Calle 8293,,CABA,1,7931,AR,home,2025-10-28 17:05:44
133,1129,Calle 8511,Piso 5 Dto C,CABA,1,3291,AR,home,2025-10-28 17:05:44
134,1130,Calle 5770,,Río Cuarto,2,2622,AR,home,2025-10-28 17:05:44
135,1131,Calle 2322,,CABA,1,4539,AR,home,2025-10-28 17:05:44
136,1132,Calle 6915,Piso 2 Dto C,Mar del Plata,1,5270,AR,home,2025-10-28 17:05:44
137,1133,Calle 6555,Piso 8 Dto A,Córdoba,2,7968,AR,home,2025-10-28 17:05:44
138,1134,Calle 4414,,CABA,1,7097,AR,home,2025-10-28 17:05:44
139,1135,Calle 9912,,Río Cuarto,2,6183,AR,home,2025-10-28 17:05:44
140,1136,Calle 4056,,Mar del Plata,1,9707,AR,home,2025-10-28 17:05:44
141,1137,Calle 1081,,Villa Carlos Paz,2,6944,AR,home,2025-10-28 17:05:44
142,1138,Calle 3699,,Rosario,3,7179,AR,home,2025-10-28 17:05:44
143,1139,Calle 2024,Piso 3 Dto C,CABA,1,9021,AR,home,2025-10-28 17:05:44
144,1140,Calle 9375,Piso 5 Dto C,Mar del Plata,1,2623,AR,home,2025-10-28 17:05:44
145,1141,Calle 2961,Piso 6 Dto C,La Plata,1,8812,AR,home,2025-10-28 17:05:44
146,1142,Calle 8415,,Mar del Plata,1,3337,AR,home,2025-10-28 17:05:44
147,1143,Calle 867,Piso 12 Dto C,Villa Carlos Paz,2,5081,AR,home,2025-10-28 17:05:44
148,1144,Calle 7192,Piso 6 Dto B,Córdoba,2,5519,AR,home,2025-10-28 17:05:44
149,1145,Calle 3749,,Mar del Plata,1,6007,AR,home,2025-10-28 17:05:44
150,1146,Calle 1303,,Rosario,3,2534,AR,home,2025-10-28 17:05:44
151,1147,Calle 4684,,Córdoba,2,7946,AR,home,2025-10-28 17:05:44
152,1148,Calle 7859,,Mendoza,4,7643,AR,home,2025-10-28 17:05:44
153,1149,Calle 120,Piso 12 Dto B,Río Cuarto,2,5001,AR,home,2025-10-28 17:05:44
154,1150,Calle 9952,,Córdoba,2,3864,AR,home,2025-10-28 17:05:44
155,1151,Calle 8417,Piso 6 Dto A,CABA,1,9118,AR,home,2025-10-28 17:05:44
156,1152,Calle 5538,,CABA,1,5752,AR,home,2025-10-28 17:05:44
157,1153,Calle 3491,Piso 1 Dto C,La Plata,1,4562,AR,home,2025-10-28 17:05:44
158,1154,Calle 8447,Piso 1 Dto B,San Rafael,4,1942,AR,home,2025-10-28 17:05:44
159,1155,Calle 5383,,La Plata,1,1084,AR,home,2025-10-28 17:05:44
160,1156,Calle 6588,,Rosario,3,8058,AR,home,2025-10-28 17:05:44
161,1157,Calle 8427,,Mar del Plata,1,8985,AR,home,2025-10-28 17:05:44
162,1158,Calle 4099,Piso 4 Dto B,Mar del Plata,1,7132,AR,home,2025-10-28 17:05:44
163,1159,Calle 8789,Piso 5 Dto A,CABA,1,8198,AR,home,2025-10-28 17:05:44
164,1160,Calle 7111,,Mar del Plata,1,2813,AR,home,2025-10-28 17:05:44
165,1161,Calle 6465,Piso 7 Dto C,CABA,1,1517,AR,home,2025-10-28 17:05:44
166,1162,Calle 4355,Piso 2 Dto B,Villa Carlos Paz,2,9119,AR,home,2025-10-28 17:05:44
167,1163,Calle 8223,Piso 12 Dto C,La Plata,1,3153,AR,home,2025-10-28 17:05:44
168,1164,Calle 2067,,Mendoza,4,4874,AR,home,2025-10-28 17:05:44
169,1165,Calle 7040,,Villa Carlos Paz,2,8116,AR,home,2025-10-28 17:05:44
170,1166,Calle 1354,,La Plata,1,9376,AR,home,2025-10-28 17:05:44
171,1167,Calle 4318,Piso 12 Dto A,CABA,1,4250,AR,home,2025-10-28 17:05:44
172,1168,Calle 8231,,Córdoba,2,3436,AR,home,2025-10-28 17:05:44
173,1169,Calle 629,,La Plata,1,7984,AR,home,2025-10-28 17:05:44
174,1170,Calle 835,Piso 7 Dto B,Córdoba,2,4791,AR,home,2025-10-28 17:05:44
175,1171,Calle 1006,,La Plata,1,5985,AR,home,2025-10-28 17:05:44
176,1172,Calle 5752,,La Plata,1,6240,AR,home,2025-10-28 17:05:44
177,1173,Calle 855,Piso 11 Dto C,CABA,1,4473,AR,home,2025-10-28 17:05:44
178,1174,Calle 1651,Piso 7 Dto A,Mar del Plata,1,9049,AR,home,2025-10-28 17:05:44
179,1175,Calle 1588,,CABA,1,6426,AR,home,2025-10-28 17:05:44
180,1176,Calle 9649,Piso 9 Dto C,Villa Carlos Paz,2,4903,AR,home,2025-10-28 17:05:44
181,1177,Calle 1430,,La Plata,1,1672,AR,home,2025-10-28 17:05:44
182,1178,Calle 1617,Piso 2 Dto C,La Plata,1,5939,AR,home,2025-10-28 17:05:44
183,1179,Calle 8742,,Mendoza,4,3094,AR,home,2025-10-28 17:05:44
184,1180,Calle 4138,Piso 9 Dto B,Mar del Plata,1,8347,AR,home,2025-10-28 17:05:44
185,1181,Calle 7911,,Mendoza,4,3735,AR,home,2025-10-28 17:05:44
186,1182,Calle 4746,,Córdoba,2,4116,AR,home,2025-10-28 17:05:44
187,1183,Calle 8413,Piso 2 Dto A,Mar del Plata,1,9344,AR,home,2025-10-28 17:05:44
188,1184,Calle 6568,,Villa Carlos Paz,2,4015,AR,home,2025-10-28 17:05:44
189,1185,Calle 9702,Piso 12 Dto A,CABA,1,9254,AR,home,2025-10-28 17:05:44
190,1186,Calle 4856,,CABA,1,3803,AR,home,2025-10-28 17:05:44
191,1187,Calle 4782,,CABA,1,5550,AR,home,2025-10-28 17:05:44
192,1188,Calle 4080,,CABA,1,1022,AR,home,2025-10-28 17:05:44
193,1189,Calle 5318,Piso 2 Dto C,Villa Carlos Paz,2,3189,AR,home,2025-10-28 17:05:44
194,1190,Calle 5319,,Santa Fe,3,6824,AR,home,2025-10-28 17:05:44
195,1191,Calle 2896,,Villa Carlos Paz,2,7258,AR,home,2025-10-28 17:05:44
196,1192,Calle 9902,Piso 9 Dto A,Rafaela,3,4614,AR,home,2025-10-28 17:05:44
197,1193,Calle 6480,,Mar del Plata,1,8109,AR,home,2025-10-28 17:05:44
198,1194,Calle 1536,Piso 8 Dto A,La Plata,1,4031,AR,home,2025-10-28 17:05:44
199,1195,Calle 2956,,La Plata,1,6081,AR,home,2025-10-28 17:05:44
200,1196,Calle 9959,,Santa Fe,3,2180,AR,home,2025-10-28 17:05:44
201,1197,Calle 6595,,Mar del Plata,1,1193,AR,home,2025-10-28 17:05:44
202,1198,Calle 1803,,CABA,1,3165,AR,home,2025-10-28 17:05:44
203,1199,Calle 2337,,Santa Fe,3,1153,AR,home,2025-10-28 17:05:44
204,1200,Calle 1393,Piso 4 Dto A,La Plata,1,8279,AR,home,2025-10-28 17:05:44
205,1201,Calle 2532,Piso 4 Dto A,La Plata,1,9906,AR,home,2025-10-28 17:05:44
206,1202,Calle 1685,,CABA,1,9381,AR,home,2025-10-28 17:05:44
207,1203,Calle 394,Piso 4 Dto B,CABA,1,3414,AR,home,2025-10-28 17:05:44
208,1204,Calle 6304,,Córdoba,2,9057,AR,home,2025-10-28 17:05:44
209,1205,Calle 1667,,Mendoza,4,6467,AR,home,2025-10-28 17:05:44
210,1206,Calle 711,,CABA,1,8022,AR,home,2025-10-28 17:05:44
211,1207,Calle 6968,Piso 3 Dto C,CABA,1,5702,AR,home,2025-10-28 17:05:44
212,1208,Calle 8180,Piso 11 Dto B,Santa Fe,3,2251,AR,home,2025-10-28 17:05:44
213,1209,Calle 2402,Piso 6 Dto A,Rosario,3,8318,AR,home,2025-10-28 17:05:44
214,1210,Calle 9468,Piso 7 Dto C,Rosario,3,3370,AR,home,2025-10-28 17:05:44
215,1211,Calle 2980,Piso 7 Dto B,CABA,1,9097,AR,home,2025-10-28 17:05:44
216,1212,Calle 9859,,La Plata,1,5028,AR,home,2025-10-28 17:05:44
217,1213,Calle 8827,,La Plata,1,7301,AR,home,2025-10-28 17:05:44
218,1214,Calle 8634,,Villa Carlos Paz,2,2429,AR,home,2025-10-28 17:05:44
219,1215,Calle 282,Piso 6 Dto C,CABA,1,3188,AR,home,2025-10-28 17:05:44
220,1216,Calle 5913,Piso 3 Dto B,La Plata,1,3361,AR,home,2025-10-28 17:05:44
221,1217,Calle 3974,,Godoy Cruz,4,3257,AR,home,2025-10-28 17:05:44
222,1218,Calle 2345,,San Rafael,4,7958,AR,home,2025-10-28 17:05:44
223,1219,Calle 9530,,CABA,1,1494,AR,home,2025-10-28 17:05:44
224,1220,Calle 4015,Piso 2 Dto A,CABA,1,3452,AR,home,2025-10-28 17:05:44
225,1221,Calle 8642,Piso 12 Dto B,CABA,1,7742,AR,home,2025-10-28 17:05:44
226,1222,Calle 217,,Mar del Plata,1,1983,AR,home,2025-10-28 17:05:44
227,1223,Calle 8246,Piso 3 Dto A,Córdoba,2,7940,AR,home,2025-10-28 17:05:44
228,1224,Calle 9373,,Villa Carlos Paz,2,7941,AR,home,2025-10-28 17:05:44
229,1225,Calle 8545,,CABA,1,7560,AR,home,2025-10-28 17:05:44
230,1226,Calle 9164,Piso 10 Dto A,CABA,1,8821,AR,home,2025-10-28 17:05:44
231,1227,Calle 6234,Piso 3 Dto A,Villa Carlos Paz,2,7950,AR,home,2025-10-28 17:05:44
232,1228,Calle 1275,Piso 6 Dto C,CABA,1,1459,AR,home,2025-10-28 17:05:44
233,1229,Calle 1745,,Mar del Plata,1,6064,AR,home,2025-10-28 17:05:44
234,1230,Calle 531,,Río Cuarto,2,1735,AR,home,2025-10-28 17:05:44
235,1231,Calle 749,,Godoy Cruz,4,6056,AR,home,2025-10-28 17:05:44
236,1232,Calle 6524,Piso 9 Dto A,Godoy Cruz,4,7400,AR,home,2025-10-28 17:05:44
237,1233,Calle 1596,,San Rafael,4,9227,AR,home,2025-10-28 17:05:44
238,1234,Calle 7815,Piso 10 Dto A,La Plata,1,3641,AR,home,2025-10-28 17:05:44
239,1235,Calle 1529,,Córdoba,2,3307,AR,home,2025-10-28 17:05:44
240,1236,Calle 8460,Piso 12 Dto C,San Rafael,4,8331,AR,home,2025-10-28 17:05:44
241,1237,Calle 7060,Piso 1 Dto C,La Plata,1,4917,AR,home,2025-10-28 17:05:44
242,1238,Calle 1229,Piso 3 Dto C,San Rafael,4,2595,AR,home,2025-10-28 17:05:44
243,1239,Calle 8965,,La Plata,1,8451,AR,home,2025-10-28 17:05:44
244,1240,Calle 2646,Piso 2 Dto B,La Plata,1,6789,AR,home,2025-10-28 17:05:44
245,1241,Calle 7549,Piso 5 Dto B,Mar del Plata,1,8242,AR,home,2025-10-28 17:05:44
246,1242,Calle 8000,Piso 1 Dto B,San Rafael,4,7568,AR,home,2025-10-28 17:05:44
247,1243,Calle 2114,Piso 8 Dto B,Rafaela,3,7122,AR,home,2025-10-28 17:05:44
248,1244,Calle 7375,,Río Cuarto,2,1934,AR,home,2025-10-28 17:05:44
249,1245,Calle 131,Piso 3 Dto A,Río Cuarto,2,7157,AR,home,2025-10-28 17:05:44
250,1246,Calle 3655,,Córdoba,2,6716,AR,home,2025-10-28 17:05:44
251,1247,Calle 7617,,Mar del Plata,1,2775,AR,home,2025-10-28 17:05:44
252,1248,Calle 6579,Piso 6 Dto A,Rosario,3,6610,AR,home,2025-10-28 17:05:44
253,1249,Calle 7803,Piso 2 Dto B,Mar del Plata,1,1627,AR,home,2025-10-28 17:05:44
254,1250,Calle 2385,Piso 11 Dto A,La Plata,1,1513,AR,home,2025-10-28 17:05:44
255,1251,Calle 7047,,La Plata,1,4465,AR,home,2025-10-28 17:05:44
256,1252,Calle 6930,,San Rafael,4,2369,AR,home,2025-10-28 17:05:44
257,1253,Calle 1339,Piso 5 Dto C,La Plata,1,7876,AR,home,2025-10-28 17:05:44
258,1254,Calle 3016,Piso 1 Dto A,La Plata,1,6603,AR,home,2025-10-28 17:05:44
259,1255,Calle 6867,,La Plata,1,8156,AR,home,2025-10-28 17:05:44
260,1256,Calle 6376,,San Rafael,4,2274,AR,home,2025-10-28 17:05:44
261,1257,Calle 5186,Piso 1 Dto A,Mar del Plata,1,3416,AR,home,2025-10-28 17:05:44
262,1258,Calle 6659,,Rosario,3,8381,AR,home,2025-10-28 17:05:44
263,1259,Calle 9477,,Río Cuarto,2,4074,AR,home,2025-10-28 17:05:44
264,1260,Calle 9846,Piso 7 Dto A,Córdoba,2,4436,AR,home,2025-10-28 17:05:44
265,1261,Calle 236,,San Rafael,4,5947,AR,home,2025-10-28 17:05:44
266,1262,Calle 8178,Piso 11 Dto B,CABA,1,7723,AR,home,2025-10-28 17:05:44
267,1263,Calle 6978,,Mar del Plata,1,3880,AR,home,2025-10-28 17:05:44
268,1264,Calle 9057,Piso 10 Dto A,CABA,1,7251,AR,home,2025-10-28 17:05:44
269,1265,Calle 7168,,Rafaela,3,2435,AR,home,2025-10-28 17:05:44
270,1266,Calle 6739,,CABA,1,8276,AR,home,2025-10-28 17:05:44
271,1267,Calle 4750,,Córdoba,2,8448,AR,home,2025-10-28 17:05:44
272,1268,Calle 7694,Piso 2 Dto B,CABA,1,7765,AR,home,2025-10-28 17:05:44
273,1269,Calle 3669,Piso 9 Dto B,La Plata,1,5333,AR,home,2025-10-28 17:05:44
274,1270,Calle 3958,,Santa Fe,3,1254,AR,home,2025-10-28 17:05:44
275,1271,Calle 8503,Piso 12 Dto C,La Plata,1,6490,AR,home,2025-10-28 17:05:44
276,1272,Calle 3963,,Godoy Cruz,4,7444,AR,home,2025-10-28 17:05:44
277,1273,Calle 7031,Piso 3 Dto C,Rafaela,3,3846,AR,home,2025-10-28 17:05:44
278,1274,Calle 2596,,San Rafael,4,3069,AR,home,2025-10-28 17:05:44
279,1275,Calle 6423,,Mar del Plata,1,6282,AR,home,2025-10-28 17:05:44
280,1276,Calle 7167,,CABA,1,1455,AR,home,2025-10-28 17:05:44
281,1277,Calle 9369,,Mendoza,4,8433,AR,home,2025-10-28 17:05:44
282,1278,Calle 3634,,Mar del Plata,1,7194,AR,home,2025-10-28 17:05:44
283,1279,Calle 1360,,Villa Carlos Paz,2,2694,AR,home,2025-10-28 17:05:44
284,1280,Calle 2011,Piso 2 Dto A,Mar del Plata,1,5292,AR,home,2025-10-28 17:05:44
285,1281,Calle 5922,,La Plata,1,9045,AR,home,2025-10-28 17:05:44
286,1282,Calle 1251,Piso 4 Dto C,La Plata,1,7148,AR,home,2025-10-28 17:05:44
287,1283,Calle 2640,,Villa Carlos Paz,2,3927,AR,home,2025-10-28 17:05:44
288,1284,Calle 5682,,La Plata,1,3595,AR,home,2025-10-28 17:05:44
289,1285,Calle 3160,,Córdoba,2,9486,AR,home,2025-10-28 17:05:44
290,1286,Calle 5979,,Rosario,3,6366,AR,home,2025-10-28 17:05:44
291,1287,Calle 2074,Piso 5 Dto B,Mar del Plata,1,4264,AR,home,2025-10-28 17:05:44
292,1288,Calle 4823,Piso 8 Dto C,Mar del Plata,1,8144,AR,home,2025-10-28 17:05:44
293,1289,Calle 4098,Piso 3 Dto A,Mendoza,4,7436,AR,home,2025-10-28 17:05:44
294,1290,Calle 5106,Piso 3 Dto A,Río Cuarto,2,8101,AR,home,2025-10-28 17:05:44
295,1291,Calle 4452,,Mar del Plata,1,7275,AR,home,2025-10-28 17:05:44
